track_number,track_popularity,explicit,artist_popularity,artist_followers,artist_genres,album_id,album_release_date,album_total_tracks,album_type,track_duration_min,release_year,release_month
1,36,True,23,2256,,4TcMHQXoMshvClT6kz0aIw,2025-09-30,1,single,2.57,2025,9
1,77,True,78,2730121,,58Xf2l1m7iWhfwoRjx75C0,2025-09-30,1,single,1.97,2025,9
1,17,True,6,3,,3JA6vtZ2Rv7DTFjcN92cS0,2025-09-29,1,single,2.21,2025,9
1,56,False,45,73003,,6JNlu1MYZPrJTU7KC3wJj8,2025-09-29,1,single,3.0,2025,9
1,50,False,45,27570,,2llBy2tM0pZgbj0nOAtKH8,2025-09-28,1,single,3.2,2025,9
12,43,False,49,1874,,0thIG0Zu7K49qQE13Cr53K,2025-09-28,14,album,2.6,2025,9
14,35,False,49,1855,,0thIG0Zu7K49qQE13Cr53K,2025-09-28,14,album,2.92,2025,9
11,39,False,49,1874,,0thIG0Zu7K49qQE13Cr53K,2025-09-28,14,album,2.08,2025,9
8,41,False,49,1866,,0thIG0Zu7K49qQE13Cr53K,2025-09-28,14,album,2.59,2025,9
1,36,True,22,90,jersey club,7KBVG2181o0BmMgrcgRiLQ,2025-09-27,1,single,2.22,2025,9
1,36,False,19,1413,,6qY485VczzLt075kfhyb6d,2025-09-26,1,single,2.82,2025,9
1,36,False,24,2803,,2pcTtrMr36wWuk8MWyWzq4,2025-09-26,1,single,2.85,2025,9
1,91,True,88,9256589,pop,1ks1k7zln4TyBjn1CF3vCz,2025-09-26,1,single,2.93,2025,9
1,37,True,19,139,bongo flava,0sXtDJxg9UeuqQSfYbhFHP,2025-09-26,1,single,3.03,2025,9
1,74,True,84,14936207,,6hGxO3RlfPxP0OuXukj5Ju,2025-09-26,1,single,3.76,2025,9
1,27,False,18,69,,414Yi6g6MykIuEN9mdzCoE,2025-09-26,1,single,2.83,2025,9
1,68,False,69,354095,house,2D48QGD5lU5kErH6PxLjTs,2025-09-26,1,single,3.45,2025,9
6,33,False,20,2448,,7H4nYZK9418cb7pHJ3jue6,2025-09-26,7,single,2.74,2025,9
1,85,True,84,9509731,"neo-psychedelic, indie",2kCjkEVRnLdEV5UOaQSAG4,2025-09-26,3,single,3.42,2025,9
1,49,False,34,9375,,5j0KKJr4uJxRe8Z8ZdiMyd,2025-09-26,1,single,2.62,2025,9
2,52,True,47,2695,hipdut,1dThBnOTTZO3S7W1Y3FnyR,2025-09-26,4,single,3.21,2025,9
2,43,False,24,26,,3J7XqMCiYC5mKOH6ilyuWJ,2025-09-26,24,album,4.51,2025,9
1,29,False,15,3150,,7F1SEfemkvgrnT8cenAXsF,2025-09-26,1,single,3.63,2025,9
3,30,False,13,183,indie r&b,4J8czQ9vX30BBYHEd1oO7V,2025-09-26,4,single,4.42,2025,9
1,43,False,25,1152,,59IemnGXxvDGYVlTUrRF4z,2025-09-26,1,single,3.36,2025,9
1,41,True,25,569,afrobeat,2HrTlo7PUWEwOQECV9AcEI,2025-09-26,2,single,2.59,2025,9
1,39,True,25,10987,christian hip hop,32jGZ7QnQ5WPyc8mEl1uuU,2025-09-26,1,single,2.81,2025,9
1,33,True,20,4873,,5qCrlkXncgAS7h7f5VsOGa,2025-09-26,1,single,3.47,2025,9
1,39,False,23,3112,,4VyWW5waswcTLAmZKt8vC2,2025-09-26,1,single,3.37,2025,9
1,41,False,23,175,,2f0XGheNivGtsizi291hrE,2025-09-26,1,single,2.96,2025,9
1,38,False,22,2001,,1ZAKqj0r5HY7LTfcJpDCsL,2025-09-26,1,single,2.05,2025,9
5,90,False,88,1499215,pop soul,0l8zYqoUeBYg47Gmevq9HZ,2025-09-26,12,album,2.81,2025,9
1,40,True,23,114,,5Ajc5M8QLIT9Xrp6HFVJwr,2025-09-25,1,single,2.58,2025,9
1,34,True,17,1254,,7HgNFc1L2i9t5ZnoXGQy3Y,2025-09-25,1,single,3.08,2025,9
1,13,True,4,1909,,1jTmQUPtIP9PRVth4AxfYx,2025-09-25,1,single,2.95,2025,9
1,36,False,18,181,,5Ypa8QXUAcoNLON7Vvdft5,2025-09-25,1,single,2.81,2025,9
1,37,False,38,6157,,5wzGdpDIwI6mPSQaXQkuyI,2025-09-25,1,single,2.9,2025,9
1,21,False,7,3,,6iMzh8DFqe4mJ26QMY6YwS,2025-09-25,1,single,2.8,2025,9
1,68,True,62,394628,"anime rap, anime",2NaTp3h74cDqtrlgDe9b4W,2025-09-24,1,single,2.62,2025,9
1,25,False,9,36,,4ESicJbt1hcmMa760j8X8G,2025-09-24,1,single,2.57,2025,9
1,37,False,22,178,"3 step, gqom",5f469pJg3kGAaRjgHcaGs3,2025-09-24,6,single,2.15,2025,9
3,32,False,35,1803,,5pdaddrPUJy4oCM9TPPec2,2025-09-24,14,album,2.76,2025,9
1,27,False,10,60,,33Fv8Y2e8jAGbPSn91HliR,2025-09-23,1,single,3.61,2025,9
6,18,False,16,104,,3CXhCyquX7qyk3Q6Sih1w8,2025-09-21,7,album,2.64,2025,9
1,13,True,3,4,"funk de bh, funk carioca",1ZDJdxjW0l9k9goSMxJoPe,2025-09-20,1,single,2.49,2025,9
8,78,False,77,1461346,,5jUCvcrzCNng7N3iNVY4ts,2025-09-19,14,album,4.36,2025,9
13,74,True,81,25953771,,1LsNb6mVitbLZCxnRsbCDJ,2025-09-19,23,album,3.05,2025,9
1,44,False,52,21748,dark r&b,5HDxcAIdBVavuw7UdD2zFV,2025-09-19,3,single,3.07,2025,9
7,27,False,18,232,,5ffi8DCbbQ5cKzSVdReWgB,2025-09-19,12,album,2.55,2025,9
1,49,True,49,8802,dark r&b,2wyiqNFU4p1dM1Fm0qD1qp,2025-09-19,2,single,2.51,2025,9
8,75,True,81,25953771,,1LsNb6mVitbLZCxnRsbCDJ,2025-09-19,23,album,2.96,2025,9
1,47,False,58,146969,slap house,0HpZGevqOOW5s7Ji0znHkl,2025-09-19,1,single,2.42,2025,9
1,35,False,19,181,,3rwRrvZIMD9kyc5y1qUbP8,2025-09-19,4,single,3.69,2025,9
3,71,True,81,25957976,,1LsNb6mVitbLZCxnRsbCDJ,2025-09-19,23,album,2.97,2025,9
1,31,False,15,1068,,3iWjRDiDopj3rntTt2hYMc,2025-09-19,1,single,3.63,2025,9
1,38,False,35,1843,,6CsOJCea4cwzWF6t6hMU3a,2025-09-19,1,single,2.26,2025,9
1,69,True,75,12848260,,4wdp5hBwGx9AgqUoiCCDUV,2025-09-19,1,single,2.3,2025,9
16,69,True,81,25957976,,1LsNb6mVitbLZCxnRsbCDJ,2025-09-19,23,album,2.44,2025,9
3,31,False,22,1274,,1Ky161U9xfQ39gg9YmwqHw,2025-09-19,4,single,3.88,2025,9
1,22,False,11,382,,0ToLj7bYRvLGZPFJu201QD,2025-09-19,1,single,3.92,2025,9
1,92,False,81,2853248,,01sqwTOTrN9gaYQc1rr6Zw,2025-09-19,1,single,3.27,2025,9
1,40,False,22,49,,6Zf8PUHcylkFuQ9B3EkYq5,2025-09-19,1,single,3.11,2025,9
2,42,True,36,31236,"alté, nigerian drill, afrobeats, afrobeat",2YCmuYFmpWaioi9FFFvs9x,2025-09-19,3,single,2.95,2025,9
1,40,False,22,227,melodic bass,235p7xwM07tMwNbUD3dJ3l,2025-09-19,1,single,3.97,2025,9
1,54,False,50,3963,,7wPoQhLTu6ep2FayEIFLUZ,2025-09-18,1,single,2.25,2025,9
1,58,False,67,3134091,"pop punk, emo",6QFFlzCWi0nB4iwqByUreu,2025-09-18,3,single,4.38,2025,9
1,39,False,62,225797,,2lSaIwhi64HvrBBxX9JsMV,2025-09-18,1,single,3.31,2025,9
11,26,False,47,163172,,6EBOWa0SjlXmcxOkI72WXW,2025-09-17,13,album,4.17,2025,9
4,39,False,33,6678,,6BJ25snNyTn3EhwCZ5cTjC,2025-09-17,4,single,3.22,2025,9
1,52,False,53,19064,dark r&b,6e9DMNJAiQCBdYZAeZpSxd,2025-09-17,3,single,2.96,2025,9
2,44,False,33,6685,,6BJ25snNyTn3EhwCZ5cTjC,2025-09-17,4,single,2.95,2025,9
1,42,False,33,6683,,6BJ25snNyTn3EhwCZ5cTjC,2025-09-17,4,single,3.08,2025,9
1,17,True,12,390,melodic rap,75oeOiZN5SGo9Uxi7fP7Fg,2025-09-17,1,single,3.0,2025,9
1,17,False,4,276,,06Cx6gpouFqAqw0scvF30w,2025-09-17,2,single,2.62,2025,9
1,47,True,33,319,,2jSnuyqXzrxSEma1kd3PxD,2025-09-16,1,single,3.01,2025,9
1,16,False,8,12,,24rL6d2DpnPLUxQsKczMJS,2025-09-15,11,album,3.9,2025,9
5,16,False,8,12,,24rL6d2DpnPLUxQsKczMJS,2025-09-15,11,album,4.08,2025,9
4,17,True,8,39,,5OU38onkQUXsG3yiPWEAoB,2025-09-15,6,single,4.6,2025,9
1,43,True,30,1655,,76G1dwc1nFTJQ6kFpMDY8o,2025-09-15,1,single,4.0,2025,9
8,10,False,16,2177,,3EFPQ6eWkUj3g8kNXF6fKl,2025-09-12,11,album,3.26,2025,9
1,41,False,44,1499,,5pSb2Kr9jVQyLp9H7P0obn,2025-09-12,1,single,2.8,2025,9
1,27,False,10,34,,067t3qgBnltGBK7PLrfBKF,2025-09-12,1,single,3.2,2025,9
2,50,False,47,7071,,2qrlZrd3vHcB26h2uvkUlA,2025-09-12,9,album,2.88,2025,9
1,53,False,34,103,,2nz40FmZPm6hKanAyD6OIH,2025-09-12,1,single,3.4,2025,9
1,42,False,31,2956,future house,72UUPOfxYe90BhqHPRVE8Y,2025-09-12,1,single,2.57,2025,9
4,49,True,47,7045,,2qrlZrd3vHcB26h2uvkUlA,2025-09-12,9,album,2.02,2025,9
